Fine-tuned CLIP Misclassifications
============================================================

False Positives (Real → Fake): 33
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/cat/flickr_cat_000253.jpg (conf: 0.4905)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/cat/flickr_cat_000152.jpg (conf: 0.4773)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/cat/pixabay_cat_001029.jpg (conf: 0.2579)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/cat/flickr_cat_000191.jpg (conf: 0.3762)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/cat/flickr_cat_000637.jpg (conf: 0.4244)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/cat/pixabay_cat_000392.jpg (conf: 0.3047)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/cat/pixabay_cat_002464.jpg (conf: 0.4306)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/cat/pixabay_cat_002241.jpg (conf: 0.4008)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/cat/pixabay_cat_002398.jpg (conf: 0.3780)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/cat/pixabay_cat_001672.jpg (conf: 0.4972)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/cat/pixabay_cat_004019.jpg (conf: 0.4852)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/dog/pixabay_dog_000550.jpg (conf: 0.4419)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/dog/pixabay_dog_001985.jpg (conf: 0.3828)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/dog/pixabay_dog_000357.jpg (conf: 0.4848)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/dog/flickr_dog_001021.jpg (conf: 0.4299)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/dog/pixabay_dog_003672.jpg (conf: 0.2866)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/dog/pixabay_dog_002766.jpg (conf: 0.4944)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/dog/flickr_dog_000572.jpg (conf: 0.4405)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/dog/pixabay_dog_000140.jpg (conf: 0.4161)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/dog/pixabay_dog_001497.jpg (conf: 0.4720)
  /crex/proj/uppmax2025-2-346/nobackup/private/junming/stargan-v2/data/afhq/val/dog/pixabay_dog_002492.jpg (conf: 0.4101)
