================================================================================
MISCLASSIFIED IMAGES
================================================================================

Total misclassifications: 82 / 17502
Accuracy: 0.9953

--------------------------------------------------------------------------------
FALSE POSITIVES: 33 (Real images predicted as Fake)
--------------------------------------------------------------------------------
Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/cat/flickr_cat_000253.jpg
Confidence: 0.5115

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/cat/flickr_cat_000152.jpg
Confidence: 0.5242

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/cat/pixabay_cat_001029.jpg
Confidence: 0.7459

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/cat/flickr_cat_000191.jpg
Confidence: 0.6285

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/cat/flickr_cat_000637.jpg
Confidence: 0.5799

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/cat/pixabay_cat_000392.jpg
Confidence: 0.6996

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/cat/pixabay_cat_002464.jpg
Confidence: 0.5800

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/cat/pixabay_cat_002241.jpg
Confidence: 0.6008

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/cat/pixabay_cat_002398.jpg
Confidence: 0.6273

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/cat/pixabay_cat_001672.jpg
Confidence: 0.5098

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/cat/pixabay_cat_004019.jpg
Confidence: 0.5224

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/dog/pixabay_dog_000550.jpg
Confidence: 0.5572

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/dog/pixabay_dog_001985.jpg
Confidence: 0.6236

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/dog/pixabay_dog_000357.jpg
Confidence: 0.5191

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/dog/flickr_dog_001021.jpg
Confidence: 0.5633

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/dog/pixabay_dog_003672.jpg
Confidence: 0.7165

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/dog/pixabay_dog_002766.jpg
Confidence: 0.5113

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/dog/flickr_dog_000572.jpg
Confidence: 0.5590

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/dog/pixabay_dog_000140.jpg
Confidence: 0.5886

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/dog/pixabay_dog_001497.jpg
Confidence: 0.5326

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/dog/pixabay_dog_002492.jpg
Confidence: 0.5905

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/wild/flickr_wild_000053.jpg
Confidence: 0.5096

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/wild/flickr_wild_001508.jpg
Confidence: 0.5166

Path: /home/junming/nobackup_junming/stargan-v2/data/afhq/val/wild/flickr_wild_002336.jpg
Confidence: 0.5602

