epoch,train_loss,train_acc,test_acc,test_auc
1,0.09031319647783675,0.9624803493449782,0.9641183864701177,0.99929450485356
2,0.006212901834081614,0.9980087336244542,0.9999428636727231,1.0
3,0.0031014721991279464,0.9989868995633188,1.0,1.0
4,0.0018859750960485502,0.999406113537118,1.0,1.0
5,0.0016994908820819887,0.999475982532751,1.0,1.0
6,0.0012859633286314168,0.9995807860262008,1.0,1.0
7,0.0008217927885664064,0.9996855895196507,0.9914295509084676,1.0
8,0.0032986029743890454,0.9989170305676855,0.9972003199634327,0.9999997500312461
9,0.0015478473076626642,0.999475982532751,0.9997143183636156,0.9998849727117444
10,0.0010636052821751158,0.9996855895196507,0.9999428636727231,1.0
